Block,Treat,Rep,Cage,Time,Ini ad,Ini nym,adtot,nymtot,IGR,adtop,nymtop,addist,nymdist,logtop
1,HR,4,HR4,2,14,55,9,181,12.92857143,1,0.679558011,1.388888889,0.138121547,1
1,HR,5,HR5,2,15,79,9,172,11.46183575,0.555555556,0.645348837,1.666666667,0.450581395,0.096910014
1,HR,6,HR6,2,14,64,16,205,14.60890342,0.6875,0.707317073,3.4375,1.134146341,0.342422681
1,HL,1,HL1,2,15,76,7,97,6.433680556,1,0.969072165,1.428571429,0.74742268,1
1,HL,2,HL2,2,14,54,4,41,2.908730159,1,0.951219512,1.25,1.158536585,1
1,HL,3,HL3,2,13,50,7,104,7.978146853,0.571428571,0.711538462,2.5,0.721153846,0.124938736
1,HL,4,HL4,2,15,55,3,26,1.693209877,1,0.769230769,5,1.442307692,1
1,HL,5,HL5,2,14,61,9,110,7.636827458,1,1,3.055555556,3.204545455,1
1,HL,6,HL6,2,16,86,6,78,4.794819079,1,1,2.083333333,1.121794872,1
1,C,1,C1,3,14,61,11,233,16.62815126,0.454545455,0.725321888,2.5,0.493562232,-0.079181245
1,C,2,C2,3,13,49,14,221,16.93240093,0.428571429,0.574660633,3.214285714,1.153846154,-0.124938736
1,C,3,C3,3,14,88,10,258,18.3921131,0.7,0.643410853,5,1.230620155,0.367976785
1,C,4,C4,3,14,58,7,234,16.68703008,0.285714286,0.52991453,4.285714286,0.918803419,-0.397940008
1,C,5,C5,3,15,73,6,241,16.06312057,1,0.614107884,2.5,0.456431535,1
1,C,6,C6,3,15,79,8,251,16.7136646,0.375,0.474103586,4.0625,0.946215139,-0.22184875
1,LR,1,LR1,3,14,64,13,199,14.20054945,0.769230769,0.849246231,2.884615385,0.703517588,0.522878745
1,LR,2,LR2,3,15,84,13,240,15.96849088,0.769230769,0.641666667,3.846153846,1,0.522878745
1,LR,3,LR3,3,15,71,11,256,17.04518519,0.818181818,0.7109375,3.181818182,0.908203125,0.653212513
1,LR,4,LR4,3,13,57,9,223,17.10659341,0.555555556,0.753363229,3.333333333,1.177130045,0.096910014
1,LR,5,LR5,3,15,64,10,244,16.24212679,0.9,0.668032787,3.5,0.706967213,0.954242509
1,LR,6,LR6,3,15,88,12,228,15.04778912,0.75,0.50877193,4.583333333,2.927631579,0.477121255
1,LL,1,LL1,3,13,81,8,192,14.62651185,0.875,0.640625,2.5,2.005208333,0.84509804
1,LL,2,LL2,3,15,75,7,161,10.66666667,1,0.937888199,3.214285714,0.97826087,1
1,LL,3,LL3,3,15,77,10,239,15.82590837,0.7,0.820083682,4,1.841004184,0.367976785
1,LL,4,LL4,3,14,72,8,209,14.70148637,1,0.61722488,4.6875,3.217703349,1
1,LL,5,LL5,3,15,63,11,230,15.24437628,0.818181818,0.726086957,3.409090909,1.706521739,0.653212513
1,LL,6,LL6,3,15,64,4,153,10.13853428,0.75,0.588235294,1.25,0.751633987,0.477121255
1,HR,1,HR1,3,15,69,13,263,17.46344086,0.769230769,0.692015209,4.423076923,1.207224335,0.522878745
1,HR,2,HR2,3,14,73,15,279,19.8609096,0.666666667,0.745519713,4.333333333,1.424731183,0.301029996
1,HR,3,HR3,3,14,47,4,174,12.41558442,0.75,0.643678161,1.25,0.387931034,0.477121255
1,HR,4,HR4,3,14,55,10,247,17.63299132,0.8,0.732793522,4.25,1.022267206,0.602059991
1,HR,5,HR5,3,15,79,10,240,15.96996124,0.9,0.733333333,3.5,1.114583333,0.954242509
1,HR,6,HR6,3,14,64,13,292,20.7761324,0.692307692,0.726027397,3.846153846,1.660958904,0.352182517
1,HL,1,HL1,3,15,76,3,116,7.683505155,1,0.956896552,2.5,0.88362069,1
1,HL,2,HL2,3,14,54,4,51,3.56010453,1,1,1.25,1.078431373,1
1,HL,3,HL3,3,13,50,4,144,11.0214497,1,0.826388889,3.125,0.833333333,1
1,HL,4,HL4,3,15,55,3,20,1.237179487,1,0.8,3.333333333,3.5,1
1,HL,5,HL5,3,14,61,9,132,9.199675325,1,0.954545455,3.055555556,3.181818182,1
1,HL,6,HL6,3,16,86,4,90,5.554887821,1,0.933333333,0,0.722222222,1
2,C,1,C11,1,15,35,14,57,1.466666667,0.5,0.473684211,0.892857143,0.48245614,0
2,C,2,C12,1,14,27,14,52,1.4375,0.642857143,0.692307692,0.892857143,0,0.255272505
2,C,3,C13,1,13,25,12,45,1,0,0,0.416666667,0,-1
2,C,4,C14,1,14,31,13,61,0.933333333,0.461538462,0.459016393,0.384615385,0.163934426,-0.066946789
2,C,5,C15,1,13,39,13,66,2.692307692,0.153846154,0.106060606,0,0,-0.740362689
2,C,6,C16,1,16,29,12,52,1.692307692,0.5,0.346153846,0.208333333,0.144230769,0
2,C,7,C17,1,14,32,13,52,0.923076923,0.461538462,0.634615385,0.576923077,0.096153846,-0.066946789
2,C,8,C18,1,14,38,15,57,1.533333333,0.466666667,0.596491228,0.166666667,0.087719298,-0.057991946
2,C,9,C19,1,15,32,15,73,2.714285714,0.088888889,0.465753425,0.055555556,0.102739726,-1.010723865
2,C,10,C110,1,15,25,12,39,1,0.166666667,0.076923077,1.041666667,0.192307692,-0.698970003
2,LR,1,LR11,1,14,31,15,64,2.642857143,0.466666667,0.546875,0.333333333,0.0390625,-0.057991946
2,LR,2,LR12,1,13,21,10,35,0.214285714,0.5,0.571428571,2,1.357142857,0
2,LR,3,LR13,1,13,19,12,42,1.615384615,0.666666667,0.69047619,0.416666667,0.297619048,0.301029996
2,LR,4,LR14,1,15,32,12,53,1.333333333,0.583333333,0.528301887,0,0.141509434,0.146128035
2,LR,5,LR15,1,14,27,11,43,1,0.818181818,0.627906977,0.909090909,0.348837209,0.653212513
2,LR,6,LR16,1,15,47,13,59,0.266666667,0.538461538,0.677966102,0,0.084745763,0.066946789
2,LR,7,LR17,1,12,37,10,35,-0.571428571,0.6,0.485714286,1.5,1,0.176091259
2,LR,8,LR18,1,13,28,13,48,1.714285714,0.307692308,0.395833333,0.769230769,0.104166667,-0.352182517
2,LR,9,LR19,1,14,24,12,59,0.692307692,0.333333333,0.322033898,1.25,0.93220339,-0.301029996
2,LR,10,LR110,1,13,26,15,73,1.785714286,0.466666667,0.561643836,0.5,0.171232877,-0.057991946
2,LL,1,LL11,1,13,31,10,40,1.153846154,0.2,0.325,0.75,0.8125,-0.602059991
2,LL,2,LL12,1,14,29,11,31,-0.5,0.272727273,0.548387097,0.454545455,0,-0.425968732
2,LL,3,LL13,1,14,36,10,32,1,0.2,0.375,1,0.9375,-0.602059991
2,LL,4,LL14,1,15,39,12,48,1.538461538,0.666666667,0.604166667,0.416666667,0.260416667,0.301029996
2,LL,5,LL15,1,15,40,12,42,0.428571429,0.583333333,0.523809524,0.416666667,0.05952381,0.146128035
2,LL,6,LL16,1,13,30,10,31,-0.416666667,0.7,0.774193548,0.75,0,0.367976785
2,LL,7,LL17,1,15,55,13,49,1.066666667,0.538461538,0.734693878,0.576923077,0.510204082,0.066946789
2,LL,8,LL18,1,12,36,11,53,1.571428571,0.363636364,0.358490566,0.681818182,0.660377358,-0.243038048
2,LL,9,LL19,1,11,20,12,56,0.857142857,0.583333333,0.375,0.416666667,0.267857143,0.146128035
2,LL,10,LL110,1,12,28,9,39,0.25,0.333333333,0.307692308,1.111111111,0.256410256,-0.301029996
2,HR,1,HR11,1,13,40,11,47,1.142857143,0.272727273,0.425531915,0,0,-0.425968732
2,HR,2,HR12,1,14,43,14,37,0.333333333,0.571428571,0.567567568,0.178571429,0.540540541,0.124938736
2,HR,3,HR13,1,15,33,12,32,0,0.25,0.40625,0,0.3125,-0.477121255
2,HR,4,HR14,1,14,52,11,34,0.714285714,0.363636364,0.705882353,1.136363636,0.882352941,-0.243038048
2,HR,5,HR15,1,14,33,13,44,0.333333333,0.461538462,0.568181818,1.153846154,0.852272727,-0.066946789
2,HR,6,HR16,1,15,34,9,30,0.909090909,0.666666667,0.433333333,1.388888889,0.166666667,0.301029996
2,HR,7,HR17,1,14,24,13,67,1.071428571,0.692307692,0.835820896,0.576923077,0.410447761,0.352182517
2,HR,8,HR18,1,14,31,14,51,0.714285714,0.642857143,0.588235294,0.714285714,0.294117647,0.255272505
2,HR,9,HR19,1,14,41,11,64,2.333333333,0.454545455,0.453125,0,0.2734375,-0.079181245
2,HR,10,HR110,1,14,34,12,56,1.071428571,0.5,0.5,1.25,0.178571429,0
2,HL,1,HL11,1,14,35,8,42,0.230769231,0.125,0.238095238,3.4375,1.30952381,-0.84509804
2,HL,2,HL12,1,13,50,10,34,0.6,0.6,0.5,2.25,2.058823529,0.176091259
2,HL,3,HL13,1,14,44,11,42,1.071428571,0.818181818,0.642857143,0.909090909,0.595238095,0.653212513
2,HL,4,HL14,1,12,36,8,32,0.461538462,0.625,0.59375,0.625,0.46875,0.22184875
2,HL,5,HL15,1,14,30,14,55,1,0.785714286,0.636363636,0.714285714,0.590909091,0.564271431
2,HL,6,HL16,1,13,26,11,30,0.166666667,0.727272727,0.566666667,0.909090909,0.416666667,0.425968732
2,HL,7,HL17,1,14,48,12,55,1.571428571,0.25,0.290909091,0.416666667,0.227272727,-0.477121255
2,HL,8,HL18,1,12,36,9,43,0.642857143,0.444444444,0.372093023,0.833333333,0.639534884,-0.096910014
2,HL,9,HL19,1,14,41,7,24,-0.428571429,0.285714286,0.25,2.142857143,2.291666667,-0.397940008
2,HL,10,HL110,1,13,27,13,44,1.307692308,0.230769231,0.363636364,0.769230769,0.227272727,-0.522878745
2,C,1,C11,2,15,35,15,90,5.967836257,0.4,0.411111111,1.166666667,0.916666667,-0.176091259
