Block,Treat,Rep,risk,lethal,Ini ad,Ini nym,sourcetot,sourcead,sourcenym,offtot,offad,offnym,tottot,totad,totnym,nym.ad,tot.ad,adddist,nymdist,totdist,totinf,avgdistinf,titer,offaddist,offnymdist
2,C,8,0,0,30,9,68,1,67,334,19,315,402,20,382,12.73333333,13.4,41.46631579,32.12336508,32.5881885,7,37.00142857,0.117850672,43.77,40.80185484
2,R,1,1,0,27,14,92,1,91,247,17,230,339,18,321,11.88888889,12.55555556,40.94176471,25.889,26.68826184,3,20,0.314685979,43.500625,42.83791367
2,R,2,1,0,27,18,220,8,212,328,24,304,548,32,516,19.11111111,20.2962963,27.08333333,12.21621711,13.08436988,5,21.656,0.312724706,40.625,40.36663043
2,R,3,1,0,27,15,71,1,70,313,21,292,384,22,362,13.40740741,14.22222222,36.66666667,29.44246575,29.85635226,4,26.18,0.271139376,38.5,38.72612613
2,R,4,1,0,27,12,73,0,73,447,27,420,520,27,493,18.25925926,19.25925926,46.01703704,35.92116667,36.44537532,6,38.47666667,0.439849445,46.01703704,43.47806916
2,R,5,1,0,26,9,97,1,96,260,14,246,357,15,342,13.15384615,13.73076923,39.60428571,24.77402439,25.39714461,7,34.48857143,0.201081722,42.65076923,40.6294
2,R,6,1,0,27,8,59,1,58,306,22,284,365,23,342,12.66666667,13.51851852,40.305,30.47950704,31.09864769,10,33.914,0.498160826,42.22428571,38.30168142
2,R,7,1,0,27,16,89,0,89,265,14,251,354,14,340,12.59259259,13.11111111,41.28785714,24.70697211,25.36271333,8,33.8575,0.334964565,41.28785714,38.28055556
2,R,8,1,0,26,17,23,3,20,249,21,228,272,24,248,9.538461538,10.46153846,40.66095238,38.75986842,38.92761112,6,34.35666667,0.509576336,47.43777778,42.48677885
2,L,1,0,1,23,9,55,2,53,185,18,167,240,20,220,9.565217391,10.43478261,35.84222222,26.56443114,27.33758039,4,26.18,0.5985676,40.3225,38.9145614
2,L,2,0,1,26,17,37,0,37,270,25,245,307,25,282,10.84615385,11.80769231,39.892,33.3022449,33.83886991,7,35.16285714,0.258970301,39.892,39.22620192
2,L,3,0,1,23,5,85,2,83,227,22,205,312,24,288,12.52173913,13.56521739,42.605,24.00009756,25.4312439,8,38.4125,0.05241533,46.8655,40.32803279
2,L,4,0,1,27,8,55,0,55,171,9,162,226,9,217,8.037037037,8.37037037,41.74555556,28.83203704,29.3462922,3,33.76333333,0.311206962,41.74555556,43.65224299
2,L,5,0,1,28,14,117,1,116,284,13,271,401,14,387,13.82142857,14.32142857,40.39692308,24.02549815,24.5970691,8,37.37625,0.573806715,43.76333333,42.00587097
2,L,6,0,1,22,27,59,0,59,268,17,251,327,17,310,14.09090909,14.86363636,43.01,31.41099602,32.01400234,6,31.595,0.299920183,43.01,41.06333333
2,L,7,0,1,26,12,55,0,55,276,21,255,331,21,310,11.92307692,12.73076923,41.5452381,31.03231373,31.69929684,7,35.81857143,0.011045432,41.5452381,39.5662
2,L,8,0,1,28,19,45,0,45,283,10,273,328,10,318,11.35714286,11.71428571,42.146,33.71710623,33.9740847,9,31.39666667,0.2918661,42.146,40.37179825
